Call Number,Time Taken (seconds)
1,0.0018780231475830078
2,0.002020120620727539
3,0.0016009807586669922
4,0.0016357898712158203
5,0.0016169548034667969
6,0.0021529197692871094
7,0.0017631053924560547
8,0.0019381046295166016
9,0.001608133316040039
10,0.0016589164733886719
11,0.0022399425506591797
12,0.0023970603942871094
13,0.0022509098052978516
14,0.002022981643676758
15,0.0020520687103271484
16,0.0018570423126220703
17,0.0017352104187011719
18,0.001878976821899414
19,0.0023479461669921875
20,0.0022993087768554688
21,0.001544952392578125
22,0.0016291141510009766
23,0.0026481151580810547
24,0.001795053482055664
25,0.0017480850219726562
26,0.0017399787902832031
27,0.001917123794555664
28,0.0018548965454101562
29,0.0018360614776611328
30,0.001856088638305664
31,0.00189208984375
32,0.0019350051879882812
33,0.001817941665649414
34,0.0018420219421386719
35,0.00162506103515625
36,0.0019500255584716797
37,0.0020470619201660156
38,0.001676797866821289
39,0.0016639232635498047
40,0.0017292499542236328
41,0.0019981861114501953
42,0.0018417835235595703
43,0.0018012523651123047
44,0.0016169548034667969
45,0.0018570423126220703
46,0.0021250247955322266
47,0.0016040802001953125
48,0.001676797866821289
49,0.00180816650390625
50,0.002177000045776367
51,0.0018460750579833984
52,0.0018811225891113281
53,0.0017039775848388672
54,0.0016779899597167969
55,0.002232789993286133
56,0.0018870830535888672
57,0.001712799072265625
58,0.002316713333129883
59,0.0020067691802978516
60,0.0017490386962890625
61,0.0019860267639160156
62,0.0021600723266601562
63,0.002416849136352539
64,0.001753091812133789
65,0.0017390251159667969
66,0.0017058849334716797
67,0.002391815185546875
68,0.0017998218536376953
69,0.0018072128295898438
70,0.0016949176788330078
71,0.0019271373748779297
72,0.0022192001342773438
73,0.0018961429595947266
74,0.0019309520721435547
75,0.002044200897216797
76,0.0023040771484375
77,0.0019488334655761719
78,0.001622915267944336
79,0.001547098159790039
80,0.002227306365966797
81,0.0017900466918945312
82,0.0017118453979492188
83,0.0017921924591064453
84,0.0018911361694335938
85,0.0018770694732666016
86,0.0017499923706054688
87,0.0016169548034667969
88,0.0016639232635498047
89,0.001834869384765625
90,0.0019559860229492188
91,0.0017421245574951172
92,0.001744985580444336
93,0.0018308162689208984
94,0.002137899398803711
95,0.001882791519165039
96,0.0015506744384765625
97,0.001528024673461914
98,0.0018739700317382812
99,0.0017976760864257812
100,0.0015828609466552734
