Call Number,Time Taken (seconds)
1,0.01258707046508789
2,0.0027010440826416016
3,0.002807140350341797
4,0.002122163772583008
5,0.0024559497833251953
6,0.007717132568359375
7,0.0053768157958984375
8,0.002048969268798828
9,0.0018589496612548828
10,0.001627206802368164
11,0.0016300678253173828
12,0.0016200542449951172
13,0.0020177364349365234
14,0.002068042755126953
15,0.002074003219604492
16,0.0017230510711669922
17,0.0018281936645507812
18,0.0018811225891113281
19,0.0017020702362060547
20,0.0017247200012207031
21,0.0016298294067382812
22,0.0018820762634277344
23,0.0019712448120117188
24,0.0020241737365722656
25,0.0017638206481933594
26,0.0019998550415039062
27,0.0018911361694335938
28,0.0018548965454101562
29,0.001725912094116211
30,0.0015859603881835938
31,0.0023810863494873047
32,0.0021300315856933594
33,0.0022878646850585938
34,0.0022661685943603516
35,0.002925872802734375
36,0.0018413066864013672
37,0.0018639564514160156
38,0.0021209716796875
39,0.0020880699157714844
40,0.002214193344116211
41,0.002128124237060547
42,0.00185394287109375
43,0.0018088817596435547
44,0.0017940998077392578
45,0.0017881393432617188
46,0.001705169677734375
47,0.0021491050720214844
48,0.0017538070678710938
49,0.001795053482055664
50,0.0017518997192382812
51,0.0016498565673828125
52,0.0017049312591552734
53,0.0017549991607666016
54,0.0016009807586669922
55,0.0014989376068115234
56,0.0018029212951660156
57,0.0019829273223876953
58,0.0018999576568603516
59,0.0018758773803710938
60,0.0015952587127685547
61,0.0017452239990234375
62,0.0018930435180664062
63,0.0016818046569824219
64,0.001497030258178711
65,0.001728057861328125
66,0.001993894577026367
67,0.0018231868743896484
68,0.0018999576568603516
69,0.0016601085662841797
70,0.0016717910766601562
71,0.002062082290649414
72,0.00168609619140625
73,0.0016281604766845703
74,0.001627206802368164
75,0.0018429756164550781
76,0.0017888545989990234
77,0.002064228057861328
78,0.0016968250274658203
79,0.0016200542449951172
80,0.0019578933715820312
81,0.0017278194427490234
82,0.0015981197357177734
83,0.0016410350799560547
84,0.001847982406616211
85,0.0018038749694824219
86,0.0019059181213378906
87,0.0017421245574951172
88,0.001483917236328125
89,0.0018799304962158203
90,0.0017058849334716797
91,0.0015020370483398438
92,0.001728057861328125
93,0.0015311241149902344
94,0.0017559528350830078
95,0.002187013626098633
96,0.0017731189727783203
97,0.0015878677368164062
98,0.0016603469848632812
99,0.0019221305847167969
100,0.0016210079193115234
