Call Number,Time Taken (seconds)
1,0.0018062591552734375
2,0.0015981197357177734
3,0.0019578933715820312
4,0.0018031597137451172
5,0.0015959739685058594
6,0.0015299320220947266
7,0.0018661022186279297
8,0.0019218921661376953
9,0.0017979145050048828
10,0.0017170906066894531
11,0.0017330646514892578
12,0.0021131038665771484
13,0.0018286705017089844
14,0.0019490718841552734
15,0.001692056655883789
16,0.0015687942504882812
17,0.0018761157989501953
18,0.0017211437225341797
19,0.0016629695892333984
20,0.0017590522766113281
21,0.001992940902709961
22,0.002079010009765625
23,0.0018260478973388672
24,0.0015978813171386719
25,0.0016367435455322266
26,0.001901865005493164
27,0.0017981529235839844
28,0.0014982223510742188
29,0.0017299652099609375
30,0.0017328262329101562
31,0.0020761489868164062
32,0.0019459724426269531
33,0.001583099365234375
34,0.0017652511596679688
35,0.0018570423126220703
36,0.0019321441650390625
37,0.0016939640045166016
38,0.0016791820526123047
39,0.0016031265258789062
40,0.0016400814056396484
41,0.001981973648071289
42,0.001705169677734375
43,0.0015420913696289062
44,0.0017168521881103516
45,0.0017199516296386719
46,0.0016109943389892578
47,0.001718759536743164
48,0.0016798973083496094
49,0.0015897750854492188
50,0.0019288063049316406
51,0.0018401145935058594
52,0.0016388893127441406
53,0.0017199516296386719
54,0.0017681121826171875
55,0.0017538070678710938
56,0.001940011978149414
57,0.0016319751739501953
58,0.0014882087707519531
59,0.0017008781433105469
60,0.0026900768280029297
61,0.009557008743286133
62,0.0054209232330322266
63,0.009511947631835938
64,0.008623123168945312
65,0.002679109573364258
66,0.0020351409912109375
67,0.002160310745239258
68,0.003209829330444336
69,0.0023810863494873047
70,0.002618074417114258
71,0.002138853073120117
72,0.002035856246948242
73,0.0020639896392822266
74,0.0021131038665771484
75,0.002010822296142578
76,0.0017228126525878906
77,0.0016150474548339844
78,0.0018529891967773438
79,0.0018737316131591797
80,0.0019121170043945312
81,0.0019519329071044922
82,0.0017549991607666016
83,0.0019426345825195312
84,0.0019321441650390625
85,0.001669168472290039
86,0.0015461444854736328
87,0.001898050308227539
88,0.0019359588623046875
89,0.001955747604370117
90,0.0018389225006103516
91,0.0017549991607666016
92,0.0018961429595947266
93,0.0017518997192382812
94,0.001631021499633789
95,0.001641988754272461
96,0.0019009113311767578
97,0.0020432472229003906
98,0.0019009113311767578
99,0.001809835433959961
100,0.001558065414428711
